"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 27 00:30:15 EST 2020","Sun Dec 27 00:30:23 EST 2020","7902","","test_catalogue_page","TestCataloguePage","","","test_user_basket_checkout",""
"passed","Sun Dec 27 00:29:21 EST 2020","Sun Dec 27 00:29:23 EST 2020","1872","","test_catalogue_page","TestCataloguePage","","","test_guest_basket_validation",""
"passed","Sun Dec 27 00:28:58 EST 2020","Sun Dec 27 00:29:01 EST 2020","3333","","test_catalogue_page","TestCataloguePage","","","test_guest_can_view_catalogue",""
"passed","Sun Dec 27 00:29:06 EST 2020","Sun Dec 27 00:29:09 EST 2020","3328","","test_catalogue_page","TestCataloguePage","","","test_guest_can_add_item_to_basket_from_catalogue_page[2]",""
"skipped","Sun Dec 27 00:29:24 EST 2020","Sun Dec 27 00:29:36 EST 2020","11222","","test_catalogue_page","TestCataloguePage","","","test_guest_basket_checkout",""
"skipped","Sun Dec 27 00:30:14 EST 2020","Sun Dec 27 00:30:15 EST 2020","903","","test_catalogue_page","TestCataloguePage","","","test_user_delete_item",""
"passed","Sun Dec 27 00:29:47 EST 2020","Sun Dec 27 00:29:50 EST 2020","2138","","test_catalogue_page","TestCataloguePage","","","test_user_can_view_catalogue",""
"passed","Sun Dec 27 00:29:02 EST 2020","Sun Dec 27 00:29:06 EST 2020","3711","","test_catalogue_page","TestCataloguePage","","","test_guest_can_add_item_to_basket_from_catalogue_page[1]",""
"passed","Sun Dec 27 00:29:56 EST 2020","Sun Dec 27 00:30:00 EST 2020","3604","","test_catalogue_page","TestCataloguePage","","","test_user_can_add_item_to_basket_from_catalogue_page[2]",""
"passed","Sun Dec 27 00:29:17 EST 2020","Sun Dec 27 00:29:21 EST 2020","4825","","test_catalogue_page","TestCataloguePage","","","test_guest_can_add_item_to_basket_from_catalogue_page[5]",""
"passed","Sun Dec 27 00:30:04 EST 2020","Sun Dec 27 00:30:08 EST 2020","4212","","test_catalogue_page","TestCataloguePage","","","test_user_can_add_item_to_basket_from_catalogue_page[4]",""
"skipped","Sun Dec 27 00:29:23 EST 2020","Sun Dec 27 00:29:24 EST 2020","912","","test_catalogue_page","TestCataloguePage","","","test_guest_delete_item",""
"passed","Sun Dec 27 00:30:08 EST 2020","Sun Dec 27 00:30:12 EST 2020","4475","","test_catalogue_page","TestCataloguePage","","","test_user_can_add_item_to_basket_from_catalogue_page[5]",""
"passed","Sun Dec 27 00:29:01 EST 2020","Sun Dec 27 00:29:02 EST 2020","729","","test_catalogue_page","TestCataloguePage","","","test_guest_init_price_in_mini_basket",""
"passed","Sun Dec 27 00:30:12 EST 2020","Sun Dec 27 00:30:14 EST 2020","1680","","test_catalogue_page","TestCataloguePage","","","test_user_basket_validation",""
"passed","Sun Dec 27 00:29:50 EST 2020","Sun Dec 27 00:29:50 EST 2020","696","","test_catalogue_page","TestCataloguePage","","","test_user_init_price_in_mini_basket",""
"passed","Sun Dec 27 00:30:00 EST 2020","Sun Dec 27 00:30:04 EST 2020","4145","","test_catalogue_page","TestCataloguePage","","","test_user_can_add_item_to_basket_from_catalogue_page[3]",""
"passed","Sun Dec 27 00:29:09 EST 2020","Sun Dec 27 00:29:13 EST 2020","3832","","test_catalogue_page","TestCataloguePage","","","test_guest_can_add_item_to_basket_from_catalogue_page[3]",""
"passed","Sun Dec 27 00:29:50 EST 2020","Sun Dec 27 00:29:56 EST 2020","5603","","test_catalogue_page","TestCataloguePage","","","test_user_can_add_item_to_basket_from_catalogue_page[1]",""
"passed","Sun Dec 27 00:29:13 EST 2020","Sun Dec 27 00:29:17 EST 2020","3770","","test_catalogue_page","TestCataloguePage","","","test_guest_can_add_item_to_basket_from_catalogue_page[4]",""
