"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 20 02:20:38 EST 2020","Sun Dec 20 02:20:39 EST 2020","1508","","test_product_page","TestProductPage","","","test_guest_can_go_to_login_page_from_product_page",""
"skipped","Sun Dec 20 02:20:19 EST 2020","Sun Dec 20 02:20:26 EST 2020","6743","","test_product_page","TestProductPage","","","test_message_disappeared_after_adding_product_to_basket",""
"passed","Sun Dec 20 02:20:31 EST 2020","Sun Dec 20 02:20:32 EST 2020","1253","","test_product_page","TestProductPage","","","test_guest_should_see_login_link_on_product_page",""
"passed","Sun Dec 20 02:19:11 EST 2020","Sun Dec 20 02:19:13 EST 2020","2406","","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[http://selenium1py.pythonanywhere.com/catalogue/coders-at-work_207/?promo=offer5]",""
"passed","Sun Dec 20 02:21:35 EST 2020","Sun Dec 20 02:21:39 EST 2020","3367","","test_product_page","TestProductPage","","","test_user_can_add_product_to_basket",""
"passed","Sun Dec 20 02:20:01 EST 2020","Sun Dec 20 02:20:13 EST 2020","11964","","test_product_page","TestProductPage","","","test_guest_cant_see_success_message",""
"passed","Sun Dec 20 02:20:45 EST 2020","Sun Dec 20 02:20:58 EST 2020","13065","","test_product_page","TestProductPage","","","test_guest_cant_see_product_in_basket_opened_from_product_page",""
"passed","Sun Dec 20 02:19:03 EST 2020","Sun Dec 20 02:19:05 EST 2020","2664","","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[http://selenium1py.pythonanywhere.com/catalogue/coders-at-work_207/?promo=offer4]",""
"passed","Sun Dec 20 02:21:12 EST 2020","Sun Dec 20 02:21:24 EST 2020","11472","","test_product_page","TestProductPage","","","test_user_cant_see_success_message",""
"skipped","Sun Dec 20 02:19:28 EST 2020","Sun Dec 20 02:19:31 EST 2020","2648","","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[http://selenium1py.pythonanywhere.com/catalogue/coders-at-work_207/?promo=offer7]",""
"passed","Sun Dec 20 02:18:38 EST 2020","Sun Dec 20 02:18:41 EST 2020","2747","","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[http://selenium1py.pythonanywhere.com/catalogue/coders-at-work_207/?promo=offer1]",""
"passed","Sun Dec 20 02:18:12 EST 2020","Sun Dec 20 02:18:24 EST 2020","12127","","test_main_page","TestMainPage","","","test_guest_cant_see_product_in_basket_opened_from_main_page",""
"passed","Sun Dec 20 02:18:46 EST 2020","Sun Dec 20 02:18:49 EST 2020","2488","","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[http://selenium1py.pythonanywhere.com/catalogue/coders-at-work_207/?promo=offer2]",""
"passed","Sun Dec 20 02:18:54 EST 2020","Sun Dec 20 02:18:57 EST 2020","2831","","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[http://selenium1py.pythonanywhere.com/catalogue/coders-at-work_207/?promo=offer3]",""
"passed","Sun Dec 20 02:19:45 EST 2020","Sun Dec 20 02:19:48 EST 2020","2910","","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[http://selenium1py.pythonanywhere.com/catalogue/coders-at-work_207/?promo=offer9]",""
"skipped","Sun Dec 20 02:19:53 EST 2020","Sun Dec 20 02:19:56 EST 2020","2707","","test_product_page","TestProductPage","","","test_guest_cant_see_success_message_after_adding_product_to_basket",""
"passed","Sun Dec 20 02:18:30 EST 2020","Sun Dec 20 02:18:32 EST 2020","2709","","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[http://selenium1py.pythonanywhere.com/catalogue/coders-at-work_207/?promo=offer0]",""
"passed","Sun Dec 20 02:17:58 EST 2020","Sun Dec 20 02:17:59 EST 2020","1757","","test_main_page","TestMainPage","","","test_guest_can_go_to_login_page",""
"passed","Sun Dec 20 02:19:36 EST 2020","Sun Dec 20 02:19:39 EST 2020","2514","","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[http://selenium1py.pythonanywhere.com/catalogue/coders-at-work_207/?promo=offer8]",""
"passed","Sun Dec 20 02:18:05 EST 2020","Sun Dec 20 02:18:07 EST 2020","1420","","test_main_page","TestMainPage","","","test_guest_should_see_login_link",""
"passed","Sun Dec 20 02:19:19 EST 2020","Sun Dec 20 02:19:22 EST 2020","3723","","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[http://selenium1py.pythonanywhere.com/catalogue/coders-at-work_207/?promo=offer6]",""
